Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Rio Comprido;3;0;0;98;2000.0;600.0;30.0;20.41;Apartamento
Apartamento;Copacabana;4;1;2;300;7500.0;2200.0;862.0;25.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;233;10000.0;3100.0;550.0;42.92;Apartamento
Quitinete;Catete;0;0;0;22;1100.0;471.0;29.0;50.0;Apartamento
Apartamento;Pechincha;2;1;1;78;1200.0;650.0;120.0;15.38;Apartamento
Apartamento;Jacarepaguá;1;1;1;42;1200.0;720.0;30.0;28.57;Apartamento
Apartamento;Ipanema;3;1;1;120;4000.0;1600.0;370.0;33.33;Apartamento
Apartamento;Lapa;2;0;0;60;1500.0;538.0;500.0;25.0;Apartamento
Casa;Irajá;1;1;0;45;800.0;0.0;0.0;17.78;Casa
Apartamento;Leblon;3;1;1;170;8000.0;2800.0;586.0;47.06;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;87;1500.0;503.0;187.0;17.24;Apartamento
Casa de Vila;Maracanã;3;0;0;82;2400.0;150.0;0.0;29.27;Casa
Casa;Lins de Vasconcelos;2;1;0;93;1500.0;0.0;17.0;16.13;Casa
Apartamento;Lagoa;4;3;4;190;24900.0;3710.0;0.0;131.05;Apartamento
Apartamento;Barra da Tijuca;3;2;3;164;7000.0;2300.0;350.0;42.68;Apartamento
Quitinete;Copacabana;1;0;0;30;1200.0;490.0;0.0;40.0;Apartamento
Apartamento;Ipanema;4;2;2;363;19900.0;9000.0;2700.0;54.82;Apartamento
Apartamento;Flamengo;2;1;0;70;2500.0;837.0;27.0;35.71;Apartamento
Apartamento;Tijuca;3;1;1;100;2300.0;690.0;0.0;23.0;Apartamento
Apartamento;Barra da Tijuca;3;3;2;255;8000.0;3900.0;0.0;31.37;Apartamento
Apartamento;Barra da Tijuca;4;2;2;146;4200.0;1800.0;3500.0;28.77;Apartamento
Apartamento;Gávea;4;2;1;130;8000.0;1700.0;300.0;61.54;Apartamento
Apartamento;Ipanema;3;1;0;112;3800.0;800.0;0.0;33.93;Apartamento
Quitinete;Flamengo;1;0;0;30;2150.0;260.0;25.0;71.67;Apartamento
Apartamento;Botafogo;1;1;0;40;2990.0;1020.0;183.0;74.75;Apartamento
Quitinete;Copacabana;1;0;0;26;1100.0;607.0;225.0;42.31;Apartamento
Apartamento;Copacabana;3;0;0;95;4500.0;1200.0;1300.0;47.37;Apartamento
Casa de Condomínio;Barra da Tijuca;5;6;2;703;15000.0;0.0;0.0;21.34;Casa
Apartamento;Tijuca;2;1;0;73;2200.0;700.0;0.0;30.14;Apartamento
Casa de Condomínio;Barra da Tijuca;3;5;3;681;20000.0;1907.0;18098.0;29.37;Casa
Casa de Condomínio;Barra da Tijuca;4;4;3;431;8500.0;2134.0;1471.0;19.72;Casa
Apartamento;Lagoa;4;4;3;265;16000.0;4200.0;1400.0;60.38;Apartamento
Casa;Vila da Penha;4;1;1;270;3500.0;0.0;0.0;12.96;Casa
Apartamento;Lagoa;3;1;0;128;4000.0;1700.0;0.0;31.25;Apartamento
Casa de Condomínio;Barra da Tijuca;5;5;5;900;17500.0;2600.0;0.0;19.44;Casa
Apartamento;Flamengo;3;1;0;165;5200.0;1584.0;0.0;31.52;Apartamento
Apartamento;Barra da Tijuca;2;1;1;65;1500.0;944.0;112.0;23.08;Apartamento
Apartamento;Copacabana;4;1;1;300;3500.0;2900.0;4000.0;11.67;Apartamento
Apartamento;Leblon;2;1;1;105;2700.0;1900.0;400.0;25.71;Apartamento
Apartamento;Lins de Vasconcelos;2;1;0;75;800.0;570.0;0.0;10.67;Apartamento
Apartamento;Leblon;2;1;0;80;3200.0;1500.0;277.0;40.0;Apartamento
Apartamento;Barra da Tijuca;3;3;3;169;6000.0;2200.0;871.0;35.5;Apartamento
Apartamento;Jacarepaguá;3;2;1;115;4200.0;1400.0;186.0;36.52;Apartamento
Apartamento;Grajaú;1;0;0;68;1700.0;150.0;25.0;25.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;22.97;Apartamento
Apartamento;Barra da Tijuca;2;1;1;65;2200.0;1092.0;165.0;33.85;Apartamento
Apartamento;Barra da Tijuca;3;2;1;100;3400.0;1437.0;187.0;34.0;Apartamento
Apartamento;Taquara;2;1;0;45;900.0;345.0;14.0;20.0;Apartamento
Apartamento;Méier;2;1;1;69;1300.0;686.0;52.0;18.84;Apartamento
Casa de Vila;Realengo;3;0;0;120;1200.0;0.0;0.0;10.0;Casa
Apartamento;Ipanema;2;1;1;140;11000.0;1760.0;315.0;78.57;Apartamento
Casa de Condomínio;Barra da Tijuca;5;6;5;1200;32000.0;2134.0;17480.0;26.67;Casa
Apartamento;Engenho Novo;2;1;0;115;950.0;850.0;125.0;8.26;Apartamento
Apartamento;Laranjeiras;3;1;0;120;3000.0;1002.0;0.0;25.0;Apartamento
Apartamento;Laranjeiras;2;1;1;85;2900.0;850.0;186.0;34.12;Apartamento
Apartamento;Leblon;3;1;1;200;8000.0;4500.0;0.0;40.0;Apartamento
Apartamento;Vila Isabel;2;0;0;70;1500.0;310.0;0.0;21.43;Apartamento
Apartamento;Barra da Tijuca;3;3;3;170;4900.0;1984.0;502.0;28.82;Apartamento
Apartamento;Copacabana;3;1;0;140;4400.0;1259.0;236.0;31.43;Apartamento
Apartamento;Copacabana;3;1;0;95;4800.0;1300.0;140.0;50.53;Apartamento
Apartamento;Catete;3;1;1;90;3500.0;1200.0;200.0;38.89;Apartamento
Apartamento;Barra da Tijuca;3;2;1;175;2400.0;1600.0;450.0;13.71;Apartamento
Apartamento;Leblon;4;5;2;205;17000.0;6000.0;935.0;82.93;Apartamento
Apartamento;Flamengo;1;0;0;65;2900.0;622.0;130.0;44.62;Apartamento
Apartamento;Lagoa;3;2;2;376;20000.0;4878.0;1383.0;53.19;Apartamento
Apartamento;Copacabana;3;1;0;86;1500.0;1240.0;0.0;17.44;Apartamento
Apartamento;Flamengo;1;0;1;124;9000.0;500.0;0.0;72.58;Apartamento
Casa;Joá;3;7;3;340;7500.0;1900.0;970.0;22.06;Casa
Apartamento;Copacabana;2;0;1;100;5000.0;965.0;86.0;50.0;Apartamento
Apartamento;Jacarepaguá;2;1;1;80;2100.0;1350.0;80.0;26.25;Apartamento
Apartamento;São Conrado;2;1;1;88;2300.0;1080.0;0.0;26.14;Apartamento
Apartamento;Copacabana;1;0;0;50;2000.0;617.0;0.0;40.0;Apartamento
Apartamento;Jardim Botânico;1;0;1;40;2200.0;500.0;75.0;55.0;Apartamento
Casa;Gávea;4;2;1;680;14000.0;578.0;0.0;20.59;Casa
Apartamento;Jacarepaguá;2;1;0;48;1000.0;500.0;50.0;20.83;Apartamento
Casa de Condomínio;Itanhangá;4;4;4;600;20000.0;1800.0;16000.0;33.33;Casa
Casa de Condomínio;São Conrado;4;4;4;640;28000.0;2400.0;1300.0;43.75;Casa
Apartamento;Barra da Tijuca;2;1;0;55;1250.0;500.0;14.0;22.73;Apartamento
Apartamento;Cachambi;3;0;0;65;1000.0;80.0;0.0;15.38;Apartamento
Apartamento;Barra da Tijuca;2;2;1;105;1500.0;2115.0;0.0;14.29;Apartamento
Casa de Condomínio;Barra da Tijuca;3;3;1;325;6500.0;1172.0;575.0;20.0;Casa
Casa;Ramos;3;1;0;160;1700.0;0.0;45.0;10.62;Casa
Apartamento;Barra da Tijuca;1;1;0;67;1700.0;880.0;142.0;25.37;Apartamento
Apartamento;Riachuelo;3;0;0;99;980.0;425.0;13.0;9.9;Apartamento
Apartamento;Lagoa;3;2;3;265;19000.0;4398.0;1416.0;71.7;Apartamento
Casa;Curicica;3;3;1;308;3500.0;0.0;2435.0;11.36;Casa
Casa de Condomínio;Vargem Grande;2;1;0;61;1400.0;570.0;16.0;22.95;Casa
Apartamento;Barra da Tijuca;4;3;4;267;8500.0;2423.0;570.0;31.84;Apartamento
Apartamento;Tijuca;2;1;1;78;2199.0;587.0;0.0;28.19;Apartamento
Apartamento;Leme;1;0;0;40;1500.0;650.0;68.0;37.5;Apartamento
Apartamento;Marechal Hermes;2;0;0;66;1200.0;100.0;0.0;18.18;Apartamento
Apartamento;Barra da Tijuca;2;1;1;73;1100.0;1239.0;149.0;15.07;Apartamento
Apartamento;Lagoa;3;2;1;130;5000.0;1000.0;300.0;38.46;Apartamento
Apartamento;Bonsucesso;3;0;0;107;1300.0;420.0;62.0;12.15;Apartamento
Apartamento;Cachambi;2;1;0;56;800.0;475.0;14.0;14.29;Apartamento
Quitinete;Leme;1;0;0;26;1000.0;499.0;24.0;38.46;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;97;2300.0;950.0;0.0;23.71;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;93;1800.0;294.0;0.0;19.35;Apartamento
Apartamento;Méier;2;0;0;70;950.0;500.0;0.0;13.57;Apartamento
Apartamento;Vicente de Carvalho;2;0;0;56;750.0;90.0;0.0;13.39;Apartamento
Apartamento;Gávea;2;1;0;70;3400.0;691.0;90.0;48.57;Apartamento
Apartamento;Ipanema;2;1;1;70;3700.0;990.0;200.0;52.86;Apartamento
Apartamento;Barra da Tijuca;3;0;1;135;2900.0;2000.0;0.0;21.48;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2000.0;1295.0;190.0;28.57;Apartamento
Apartamento;Ipanema;2;2;1;90;10300.0;4300.0;350.0;114.44;Apartamento
Apartamento;Barra da Tijuca;4;3;4;231;7491.0;1803.0;5380.0;32.43;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2500.0;970.0;70.0;35.71;Apartamento
Apartamento;Vila Isabel;3;2;0;142;2500.0;1428.0;0.0;17.61;Apartamento
Apartamento;Barra da Tijuca;2;1;1;90;2600.0;1000.0;242.0;28.89;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;87;3000.0;600.0;190.0;34.48;Apartamento
Apartamento;Copacabana;1;0;0;35;1000.0;410.0;57.0;28.57;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;90;2000.0;484.0;179.0;22.22;Apartamento
Apartamento;Ipanema;3;2;1;150;5000.0;2900.0;700.0;33.33;Apartamento
Quitinete;Copacabana;1;0;0;25;1200.0;318.0;0.0;48.0;Apartamento
Apartamento;São Conrado;2;1;2;87;2500.0;732.0;275.0;28.74;Apartamento
Apartamento;São Conrado;4;4;4;450;21000.0;5800.0;0.0;46.67;Apartamento
Apartamento;Copacabana;2;0;0;56;3000.0;800.0;21.0;53.57;Apartamento
Apartamento;Leblon;4;2;3;350;25000.0;3494.0;786.0;71.43;Apartamento
Apartamento;Barra da Tijuca;2;1;0;53;1500.0;700.0;0.0;28.3;Apartamento
Apartamento;Vila Isabel;2;1;1;80;1500.0;880.0;92.0;18.75;Apartamento
Quitinete;Botafogo;1;0;0;21;800.0;350.0;0.0;38.1;Apartamento
Apartamento;Copacabana;2;0;0;60;4000.0;550.0;160.0;66.67;Apartamento
Apartamento;Leblon;4;1;0;104;4200.0;1250.0;355.0;40.38;Apartamento
Apartamento;Tijuca;2;1;1;70;1300.0;1250.0;100.0;18.57;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;90;2500.0;860.0;0.0;27.78;Apartamento
Apartamento;Ipanema;2;0;0;70;3750.0;250.0;731.0;53.57;Apartamento
Apartamento;Flamengo;3;1;2;155;6500.0;1300.0;576.0;41.94;Apartamento
Apartamento;Leme;2;0;0;75;2800.0;878.0;0.0;37.33;Apartamento
Apartamento;Copacabana;4;2;1;255;5900.0;1900.0;373.0;23.14;Apartamento
Apartamento;Leblon;4;3;2;250;12900.0;3300.0;0.0;51.6;Apartamento
Casa;Maracanã;8;3;5;259;7000.0;0.0;0.0;27.03;Casa
Apartamento;Ipanema;3;1;0;75;3900.0;1166.0;232.0;52.0;Apartamento
Quitinete;Centro;1;0;0;22;700.0;295.0;19.0;31.82;Apartamento
Apartamento;Engenho Novo;1;0;0;45;800.0;460.0;0.0;17.78;Apartamento
Apartamento;Vila Isabel;2;1;1;74;2000.0;740.0;0.0;27.03;Apartamento
Apartamento;Grajaú;2;1;1;100;2090.0;760.0;185.0;20.9;Apartamento
Apartamento;Todos os Santos;2;0;0;60;1100.0;370.0;20.0;18.33;Apartamento
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;53.5;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;115;3500.0;840.0;260.0;30.43;Apartamento
Casa;Engenho de Dentro;4;3;0;120;1500.0;0.0;0.0;12.5;Casa
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;17.59;Apartamento
Apartamento;Leblon;4;3;4;260;13500.0;3100.0;0.0;51.92;Apartamento
Apartamento;Ipanema;2;1;0;70;3700.0;1000.0;0.0;52.86;Apartamento
Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0;11.29;Apartamento
Apartamento;Ipanema;3;2;1;150;5700.0;1750.0;410.0;38.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;72;1580.0;900.0;140.0;21.94;Apartamento
Apartamento;Tijuca;2;1;0;54;1700.0;793.0;50.0;31.48;Apartamento
Apartamento;Jacarepaguá;2;0;1;73;1000.0;543.0;58.0;13.7;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;0;0;54;1000.0;502.0;0.0;18.52;Apartamento
Apartamento;Copacabana;4;1;1;390;18000.0;4000.0;600.0;46.15;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;0.0;46.29;Apartamento
Apartamento;Leblon;1;0;1;45;3000.0;680.0;80.0;66.67;Apartamento
Apartamento;Ipanema;2;0;0;73;2200.0;560.0;211.0;30.14;Apartamento
Apartamento;Botafogo;2;1;1;76;2950.0;945.0;156.0;38.82;Apartamento
Apartamento;Bonsucesso;2;0;0;57;1100.0;450.0;0.0;19.3;Apartamento
Apartamento;Ipanema;2;1;2;170;10500.0;2307.0;215.0;61.76;Apartamento
Apartamento;Olaria;2;1;0;90;1500.0;300.0;50.0;16.67;Apartamento
Apartamento;Copacabana;3;1;1;130;2500.0;1818.0;0.0;19.23;Apartamento
Apartamento;Copacabana;4;1;2;300;4000.0;1350.0;390.0;13.33;Apartamento
Apartamento;Flamengo;2;1;0;43;1900.0;620.0;0.0;44.19;Apartamento
Casa;Vila Valqueire;2;1;0;93;1200.0;0.0;0.0;12.9;Casa
Apartamento;Leblon;4;3;2;145;13000.0;2500.0;702.0;89.66;Apartamento
Apartamento;Ipanema;3;1;1;116;6500.0;1650.0;150.0;56.03;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;200;2900.0;1000.0;350.0;14.5;Apartamento
Apartamento;Cachambi;2;1;0;55;1400.0;550.0;30.0;25.45;Apartamento
Apartamento;Copacabana;3;1;1;150;3500.0;900.0;400.0;23.33;Apartamento
Apartamento;Flamengo;2;0;1;65;2500.0;700.0;35.0;38.46;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;142.0;27.06;Apartamento
Casa;Santa Teresa;1;0;0;60;1300.0;0.0;85.0;21.67;Casa
Apartamento;Ipanema;3;2;1;150;6300.0;2200.0;495.0;42.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;0;48;1200.0;492.0;15.0;25.0;Apartamento
Apartamento;Urca;1;0;0;45;2300.0;330.0;75.0;51.11;Apartamento
Apartamento;Leblon;3;0;0;80;4000.0;1155.0;0.0;50.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;2;746;13000.0;510.0;4910.0;17.43;Casa
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1800.0;650.0;100.0;25.35;Apartamento
Apartamento;Engenho de Dentro;2;1;0;50;1100.0;483.0;17.0;22.0;Apartamento
Apartamento;Copacabana;2;2;1;120;4500.0;908.0;149.0;37.5;Apartamento
Apartamento;Leblon;3;4;3;320;30000.0;5141.0;1639.0;93.75;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;110;2200.0;680.0;218.0;20.0;Apartamento
Apartamento;Santa Teresa;3;0;1;150;2700.0;231.0;98.0;18.0;Apartamento
Quitinete;Centro;0;0;0;30;1100.0;420.0;25.0;36.67;Apartamento
Apartamento;Barra da Tijuca;4;3;4;148;1600.0;1766.0;0.0;10.81;Apartamento
Apartamento;Botafogo;1;1;0;73;2500.0;650.0;122.0;34.25;Apartamento
Apartamento;Maracanã;3;0;1;114;1900.0;570.0;87.0;16.67;Apartamento
Apartamento;Botafogo;1;1;0;37;1800.0;1021.0;0.0;48.65;Apartamento
Apartamento;Botafogo;3;1;1;81;2800.0;880.0;188.0;34.57;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1800.0;468.0;131.0;25.71;Apartamento
Apartamento;Barra da Tijuca;4;2;2;126;4500.0;1450.0;256.0;35.71;Apartamento
Quitinete;Copacabana;1;0;0;20;1150.0;450.0;71.0;57.5;Apartamento
Apartamento;Copacabana;2;1;0;70;3000.0;761.0;86.0;42.86;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;70;1300.0;718.0;80.0;18.57;Apartamento
Apartamento;São Conrado;2;1;1;78;3000.0;703.0;2973.0;38.46;Apartamento
Apartamento;Barra da Tijuca;2;1;1;84;2200.0;1736.0;260.0;26.19;Apartamento
Apartamento;Botafogo;2;1;1;101;5500.0;1290.0;341.0;54.46;Apartamento
Casa;Anchieta;2;1;0;80;700.0;0.0;0.0;8.75;Casa
Apartamento;Leme;1;0;1;90;3500.0;550.0;0.0;38.89;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;4;168;4000.0;1160.0;3012.0;23.81;Casa
Apartamento;Copacabana;3;1;1;120;4500.0;1400.0;200.0;37.5;Apartamento
Apartamento;Vila Isabel;2;1;0;50;1500.0;610.0;0.0;30.0;Apartamento
Apartamento;Botafogo;2;1;1;64;3800.0;980.0;210.0;59.38;Apartamento
Apartamento;Copacabana;3;1;1;140;6160.0;1300.0;2200.0;44.0;Apartamento
Apartamento;Copacabana;2;0;0;70;1900.0;700.0;151.0;27.14;Apartamento
Apartamento;Pechincha;2;2;1;147;3200.0;910.0;200.0;21.77;Apartamento
Apartamento;Copacabana;1;0;0;47;2000.0;610.0;114.0;42.55;Apartamento
Apartamento;Anil;4;3;1;300;4500.0;1650.0;288.0;15.0;Apartamento
Casa;Curicica;2;0;0;60;1000.0;0.0;98.0;16.67;Casa
Apartamento;Ipanema;2;1;0;60;2600.0;1200.0;82.0;43.33;Apartamento
Apartamento;Barra da Tijuca;2;1;2;101;3100.0;1540.0;302.0;30.69;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;0;70;1000.0;200.0;20.0;14.29;Apartamento
Apartamento;Tijuca;2;0;0;80;1400.0;850.0;0.0;17.5;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;3;200;4000.0;1300.0;4500.0;20.0;Apartamento
Apartamento;Botafogo;2;1;0;136;4000.0;1200.0;174.0;29.41;Apartamento
Apartamento;Vila Kosmos;2;0;0;54;850.0;80.0;0.0;15.74;Apartamento
Apartamento;Tijuca;2;1;0;75;1600.0;580.0;87.0;21.33;Apartamento
Apartamento;Copacabana;2;0;0;82;2876.0;696.0;0.0;35.07;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;106;1700.0;650.0;206.0;16.04;Apartamento
Apartamento;Copacabana;3;2;2;154;5200.0;1490.0;315.0;33.77;Apartamento
Apartamento;Glória;1;0;0;35;1150.0;350.0;25.0;32.86;Apartamento
Apartamento;Cascadura;1;0;0;45;650.0;250.0;0.0;14.44;Apartamento
Casa;Vila Isabel;2;0;0;52;1500.0;0.0;0.0;28.85;Casa
Apartamento;Ipanema;3;1;1;140;7500.0;2900.0;500.0;53.57;Apartamento
Apartamento;Ipanema;2;1;1;85;5000.0;5000.0;25.0;58.82;Apartamento
Apartamento;Jardim Guanabara;3;0;0;80;1700.0;380.0;130.0;21.25;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;3200.0;836.0;2200.0;41.03;Apartamento
Apartamento;Barra da Tijuca;3;2;3;145;2900.0;1800.0;350.0;20.0;Apartamento
Casa de Condomínio;Recreio dos Bandeirantes;4;3;4;280;6000.0;860.0;478.0;21.43;Casa
Apartamento;Copacabana;2;2;1;157;4000.0;1500.0;339.0;25.48;Apartamento
Casa de Vila;Santo Cristo;4;0;0;110;2000.0;70.0;15.0;18.18;Casa
Apartamento;Jardim Botânico;3;2;0;180;4500.0;2200.0;350.0;25.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;105;6000.0;1900.0;270.0;57.14;Apartamento
Casa de Condomínio;Barra da Tijuca;5;3;5;560;16000.0;1500.0;1940.0;28.57;Casa
Apartamento;Freguesia (Jacarepaguá);3;1;1;117;1990.0;980.0;153.0;17.01;Apartamento
Apartamento;Vila Isabel;2;0;0;70;1600.0;608.0;0.0;22.86;Apartamento
Apartamento;Barra da Tijuca;3;2;1;127;3300.0;1739.0;358.0;25.98;Apartamento
Apartamento;Pechincha;1;1;0;68;1150.0;554.0;13.0;16.91;Apartamento
Apartamento;Botafogo;3;1;0;95;3800.0;1400.0;1400.0;40.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;3;622;10000.0;1380.0;1486.0;16.08;Casa
Casa de Condomínio;Recreio dos Bandeirantes;3;1;1;240;3000.0;0.0;0.0;12.5;Casa
Casa de Condomínio;Recreio dos Bandeirantes;4;3;4;460;8500.0;995.0;873.0;18.48;Casa
Apartamento;Vila da Penha;2;1;0;65;1300.0;100.0;0.0;20.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;126;5400.0;980.0;594.0;42.86;Apartamento
Apartamento;Praça da Bandeira;3;1;0;68;1800.0;615.0;0.0;26.47;Apartamento
Apartamento;Barra da Tijuca;3;2;0;165;4500.0;1235.0;450.0;27.27;Apartamento
Apartamento;Barra da Tijuca;1;1;0;60;2200.0;1200.0;273.0;36.67;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;75;1700.0;1020.0;170.0;22.67;Apartamento
Apartamento;Tijuca;2;2;1;80;2100.0;750.0;100.0;26.25;Apartamento
Apartamento;Maracanã;2;1;1;105;2800.0;600.0;0.0;26.67;Apartamento
Apartamento;Barra da Tijuca;2;0;0;79;2950.0;1000.0;173.0;37.34;Apartamento
Apartamento;Engenho de Dentro;2;1;1;51;1200.0;541.0;0.0;23.53;Apartamento
Casa;Freguesia (Jacarepaguá);4;10;1;400;4900.0;0.0;0.0;12.25;Casa
Apartamento;Barra da Tijuca;2;2;2;110;4500.0;1250.0;1500.0;40.91;Apartamento
Apartamento;Flamengo;4;1;1;270;8000.0;1550.0;0.0;29.63;Apartamento
Apartamento;Barra da Tijuca;2;2;1;60;1800.0;1224.0;202.0;30.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;80;2600.0;750.0;750.0;32.5;Apartamento
Apartamento;Campo Grande;2;1;0;60;750.0;350.0;0.0;12.5;Apartamento
Apartamento;Flamengo;2;1;0;64;2000.0;660.0;96.0;31.25;Apartamento
Apartamento;Pavuna;2;0;0;50;530.0;300.0;0.0;10.6;Apartamento
Apartamento;Barra da Tijuca;4;0;2;179;8900.0;2529.0;406.0;49.72;Apartamento
Apartamento;Ipanema;3;1;1;130;5500.0;1210.0;270.0;42.31;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;2;360;7900.0;990.0;670.0;21.94;Casa
Apartamento;Recreio dos Bandeirantes;2;1;1;70;2000.0;650.0;102.0;28.57;Apartamento
Casa de Condomínio;Recreio dos Bandeirantes;3;2;1;250;6000.0;955.0;542.0;24.0;Casa
Apartamento;Ipanema;3;3;3;169;9000.0;2000.0;620.0;53.25;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;8000.0;2700.0;600.0;72.73;Apartamento
Apartamento;Ipanema;4;1;3;250;12000.0;2300.0;1037.0;48.0;Apartamento
Casa;Jardim América;1;0;0;15;400.0;0.0;0.0;26.67;Casa
