precos;area;garagem;banheiros;lareira;marmore;andares
62375;175;1;1;2;1;1
26400;46;2;3;3;0;0
42925;249;2;5;2;0;0
27000;152;2;1;2;0;0
52775;31;2;1;3;1;1
23175;9;1;1;4;0;0
23950;208;3;1;2;0;0
44750;82;1;4;3;0;1
57350;234;2;3;4;1;1
45275;141;3;2;0;1;1
58325;245;3;2;0;1;1
36950;148;1;4;1;0;0
39275;51;1;4;0;0;1
45400;186;2;1;0;0;1
60600;76;1;3;3;1;1
44750;80;2;4;1;1;0
34025;83;3;5;0;0;0
38200;68;3;1;2;0;1
27825;233;1;1;1;1;0
48275;173;3;4;4;1;0
40100;4;2;2;2;0;1
52400;98;3;5;0;0;1
52375;85;1;1;1;1;1
48050;192;3;3;3;0;1
33225;209;3;2;4;0;0
49675;87;1;2;0;0;1
41150;248;2;3;4;0;1
49150;98;2;2;4;1;0
42250;210;1;3;0;1;0
67475;101;2;2;2;1;1
42275;63;1;5;0;0;0
58550;194;2;5;2;0;1
50175;217;1;2;0;1;1
45275;33;2;1;1;1;1
37850;196;2;4;1;0;0
53750;102;3;3;0;0;1
54025;233;3;2;4;1;0
54325;105;2;5;4;1;0
32575;43;1;4;2;1;0
50750;82;1;3;2;1;0
37275;131;3;5;0;1;0
55100;146;2;5;1;1;1
29900;108;3;3;4;0;0
26925;177;3;2;3;0;0
50175;187;1;2;4;0;1
34825;5;1;1;2;0;0
30675;17;1;2;2;0;0
27625;135;3;3;2;0;0
44700;58;1;2;1;0;1
43250;230;2;5;2;1;0
26200;28;1;5;2;0;0
60600;176;1;4;0;1;1
41975;21;2;1;4;0;0
38900;196;3;5;0;0;0
47025;213;1;5;2;0;1
27825;153;1;2;0;0;0
59625;97;3;5;3;0;1
53425;219;2;5;2;0;1
31650;66;1;4;3;0;0
38850;74;3;5;2;0;0
41075;73;3;4;2;0;1
34775;221;2;4;0;0;0
23550;212;3;1;4;0;0
66175;99;2;1;2;1;1
23050;132;3;5;1;0;0
42275;151;1;3;1;0;1
22650;18;3;4;3;0;0
48325;73;3;4;3;1;1
59650;228;2;3;4;0;1
51975;139;3;2;2;0;1
36925;179;1;1;1;0;1
31375;25;2;3;1;0;0
30950;208;3;3;4;0;0
32500;132;2;2;2;0;0
45525;171;3;3;0;0;1
44425;209;1;4;2;0;1
35400;206;1;3;3;0;0
37750;222;1;3;4;0;1
55825;125;2;4;4;1;0
44850;186;3;3;4;0;1
21750;130;2;2;0;0;0
54050;124;3;5;1;1;0
47875;235;3;3;3;0;1
53250;142;1;1;2;0;1
69200;90;3;4;4;1;1
49900;126;1;4;1;0;1
37750;110;3;3;3;0;0
52200;118;3;5;1;0;1
43775;123;2;3;4;0;1
49625;247;3;4;4;0;1
59525;21;2;2;0;1;1
48650;46;2;4;1;1;0
23175;187;2;3;3;0;0
20950;18;3;4;2;0;0
27350;76;2;1;3;0;0
60225;231;3;5;4;0;1
62400;236;3;1;1;1;1
49475;99;1;5;4;0;1
38900;216;3;5;1;1;0
28250;240;1;3;1;0;0
49700;158;2;1;2;0;1
47250;100;2;1;4;1;0
37050;162;1;3;3;1;0
48400;96;3;3;4;0;1
31250;160;2;5;0;0;0
19975;159;3;1;3;0;0
50825;135;2;3;0;0;1
34475;131;3;1;0;0;0
55975;219;3;5;3;0;1
24525;81;2;5;0;0;0
37000;180;3;4;3;0;1
54500;80;2;2;2;1;1
46525;21;3;3;2;0;1
31775;141;3;1;2;0;0
27700;50;3;5;2;0;0
54825;245;1;4;4;1;1
29050;94;2;5;2;0;0
60650;188;3;2;0;0;1
17150;18;1;1;0;0;0
42350;246;2;4;1;0;1
14425;117;1;2;4;0;0
52650;148;1;4;4;1;1
32900;58;2;1;4;0;0
52325;203;2;2;1;0;1
28900;178;3;5;0;0;0
66450;180;2;1;1;1;1
47850;4;3;4;4;1;0
34100;84;1;4;1;0;0
49150;28;1;1;2;0;1
40100;194;1;5;4;0;0
44050;152;2;2;4;0;1
39650;46;3;5;4;0;0
62325;203;2;1;4;1;1
37975;131;3;3;1;0;0
35450;48;3;5;1;0;0
36475;51;1;4;0;0;1
55000;172;1;2;2;1;1
38725;159;3;5;4;0;0
38075;93;1;1;2;0;1
36000;90;1;4;3;0;0
50075;113;1;3;0;1;1
44075;43;1;1;4;1;0
52650;146;1;5;2;0;1
38725;141;1;4;0;0;1
54675;129;3;5;2;1;1
64325;53;3;2;3;1;1
52425;49;3;5;3;1;1
36925;59;3;2;1;1;0
54125;205;1;4;4;0;1
26850;64;2;1;2;0;1
19900;56;2;3;0;0;0
54225;139;2;4;4;0;1
37825;165;2;4;2;0;0
47375;155;1;4;1;0;1
53175;197;3;5;0;0;1
58075;13;3;2;1;1;1
44575;63;3;2;3;1;0
41250;242;1;1;4;0;0
40575;115;3;3;0;0;0
41700;238;2;3;3;1;0
30875;125;2;4;3;0;0
50250;210;1;3;3;0;1
48700;190;3;2;0;0;1
46375;245;1;4;3;1;0
46050;182;1;4;0;0;1
22450;40;3;3;4;0;0
32125;147;2;3;1;0;0
23200;170;2;1;3;0;0
19975;109;3;2;1;0;0
31525;231;3;1;2;1;0
44950;148;1;2;3;1;0
58425;109;2;5;3;0;1
31875;117;3;2;4;0;0
46900;186;3;5;4;0;0
32375;175;2;3;2;0;0
35100;246;2;3;0;0;0
50200;130;2;3;4;0;1
26625;155;3;4;0;0;0
35200;38;2;4;4;0;1
27500;50;1;3;0;0;1
42800;114;1;1;0;0;1
26825;13;2;3;0;0;1
41400;26;3;2;3;0;1
52125;205;1;4;0;1;1
58825;145;2;3;3;1;1
33475;159;2;2;1;0;0
56225;71;2;4;2;1;1
54400;58;2;4;4;0;1
44425;9;3;3;0;1;0
35325;213;2;2;4;0;0
58200;8;2;1;0;1;1
32825;55;1;2;3;0;1
58900;238;1;4;0;1;1
39400;196;2;2;3;0;1
50025;83;2;2;4;1;0
32125;115;2;4;0;0;0
23650;88;2;3;1;0;0
33475;49;1;5;2;0;1
30200;58;3;1;4;1;0
44975;29;3;4;1;1;0
56525;3;2;2;0;1;1
65600;196;1;1;0;1;1
39700;28;3;4;0;0;1
34675;107;2;5;0;0;0
34750;172;1;1;0;0;0
59025;221;3;4;1;0;1
51575;243;3;3;0;1;1
38250;230;3;1;1;0;0
48475;9;3;2;0;0;1
45725;219;2;4;1;0;1
59050;194;3;4;4;1;1
45775;111;3;4;3;0;1
27700;28;1;4;1;0;1
43475;71;3;1;0;0;1
64275;133;1;1;2;1;1
43850;54;1;1;0;0;1
28950;178;1;4;0;0;0
39175;189;2;1;3;1;0
36050;74;2;4;3;0;1
64150;156;1;5;3;1;1
54125;225;2;5;1;1;0
15375;235;1;2;1;0;0
44900;178;2;4;2;0;1
57400;156;1;1;1;1;1
20675;87;2;2;0;0;0
52350;226;3;1;2;1;0
22800;114;1;2;3;0;0
42650;126;1;2;1;0;1
54150;178;3;4;1;1;0
40675;99;2;3;2;1;0
35775;193;1;1;3;0;0
21275;161;2;5;3;0;0
36600;246;3;4;0;0;0
36175;77;1;5;1;0;1
30725;129;1;5;3;0;0
61025;233;1;2;3;0;1
47525;83;2;3;2;0;1
65775;133;2;3;3;1;1
27325;63;1;4;2;0;0
25525;233;2;1;4;0;0
37775;11;2;2;2;1;0
18825;233;2;1;4;0;0
55550;4;3;5;2;1;0
49100;204;1;5;2;0;1
40025;131;1;2;0;0;1
31225;71;1;2;4;0;0
44150;246;1;5;1;0;1
52125;85;3;1;1;0;1
30625;187;3;4;3;0;0
30700;208;3;1;3;0;0
34425;247;3;4;0;1;0
57925;189;2;4;4;0;1
49625;245;3;4;0;1;0
25050;242;1;1;0;0;0
35950;18;1;4;1;0;0
53200;80;1;2;2;0;1
55175;199;2;5;0;0;1
62625;105;3;4;2;1;1
22325;125;1;2;0;0;0
38925;119;3;4;0;1;0
42300;94;3;4;2;0;0
34950;98;2;3;4;0;0
54700;100;3;3;4;0;1
38300;172;1;2;1;0;1
40550;184;1;3;2;0;0
22775;51;2;3;2;0;0
21625;35;3;3;4;0;0
24850;66;1;5;0;0;0
36950;230;1;4;1;0;1
27650;236;3;5;4;0;0
35700;148;3;2;4;1;0
54575;33;1;1;1;1;1
35575;13;3;3;1;0;0
34375;195;1;1;3;0;1
37175;89;3;2;3;0;0
66900;178;3;2;1;1;1
52700;208;2;2;2;1;1
56475;9;3;5;3;0;1
43275;191;2;4;3;0;0
66050;142;3;5;4;1;1
48275;121;3;5;1;1;1
39625;67;1;3;3;0;0
25300;74;2;3;1;0;0
41925;37;1;1;3;0;1
33900;26;3;2;2;0;0
40550;84;3;1;2;1;0
47225;99;2;3;1;1;1
22600;24;2;2;0;0;0
21625;35;1;2;3;0;0
34175;209;2;2;2;0;0
52475;11;1;4;1;1;1
51275;1;3;1;3;0;1
44725;119;1;5;3;0;1
34800;102;3;2;3;0;1
51775;213;1;1;1;1;0
46400;36;2;4;3;1;0
37750;190;1;4;1;1;0
57850;166;2;1;2;0;1
30875;75;2;2;0;1;0
41500;192;2;1;3;1;0
16825;103;2;2;1;0;0
68675;99;2;5;3;1;1
35575;33;2;2;1;0;0
42525;143;2;5;4;1;0
23800;224;1;1;4;0;0
33400;186;2;3;1;0;0
37525;41;3;4;1;0;0
40075;85;1;5;0;1;0
47675;149;1;1;4;1;1
52675;137;2;4;2;0;1
33925;147;2;1;2;0;0
55200;18;2;5;0;1;1
33775;13;2;5;4;0;0
57925;119;2;2;4;1;1
26650;118;2;4;4;0;0
55900;128;2;4;1;0;1
33000;90;2;3;2;0;0
51700;30;2;3;0;0;1
40875;245;1;3;0;0;0
70050;154;3;3;0;1;1
34675;197;3;2;4;0;0
51250;182;1;2;1;0;1
35575;225;3;3;4;0;0
39850;134;3;3;2;0;1
51750;60;3;4;3;1;1
38100;56;1;1;4;0;1
32025;91;2;3;2;0;0
27325;165;1;1;4;0;0
50100;174;3;3;2;0;1
18075;63;2;2;0;0;0
41400;116;2;1;2;0;1
22050;242;2;5;1;0;0
46150;136;1;5;3;0;1
38675;9;2;1;2;0;1
26425;59;2;3;4;0;0
30900;136;1;3;3;1;0
57875;245;1;4;1;0;1
39700;38;1;2;4;0;1
64675;139;1;1;2;1;1
46600;26;1;3;0;0;1
37500;2;1;1;1;0;0
29850;194;1;5;4;0;0
48350;136;2;1;2;1;1
64800;44;3;4;1;1;1
38500;10;2;2;2;0;1
38300;244;3;3;1;1;0
54400;176;2;3;0;0;1
51075;243;2;5;3;1;1
46000;132;1;5;3;0;0
50175;207;1;1;3;0;1
26775;231;3;2;3;0;0
32650;118;2;1;4;0;0
46825;193;2;5;2;0;1
35850;196;1;2;4;0;1
40300;184;1;2;4;0;1
39200;28;3;1;3;1;0
47475;189;3;1;1;0;1
38000;12;3;2;4;0;1
50725;179;3;5;4;0;1
61600;96;2;4;0;1;1
46925;37;3;1;4;1;0
46150;196;2;3;2;0;1
53650;208;1;5;2;0;1
16650;166;1;1;0;0;0
47350;6;1;3;2;0;1
36625;7;3;4;2;0;1
21750;160;3;4;0;0;0
26900;98;2;5;2;0;0
52400;246;2;3;3;1;1
45325;173;2;2;1;0;1
48100;164;3;4;1;1;1
36950;30;2;2;2;0;0
51475;161;2;3;2;0;1
31400;56;1;5;3;1;0
40775;243;3;2;3;0;0
49675;209;3;4;0;1;0
42525;23;3;4;3;0;1
38225;29;3;5;3;0;0
49975;171;1;1;3;0;1
41125;247;2;1;0;0;0
35125;57;1;1;1;1;0
26950;48;2;5;0;0;0
47850;86;3;1;2;1;0
36450;128;2;2;4;0;0
37175;37;3;2;0;0;1
49775;113;1;2;1;0;1
42075;183;2;1;1;0;1
30500;120;1;4;0;0;0
37375;105;2;4;3;0;1
50675;39;3;3;3;0;1
38400;66;1;3;0;0;1
34650;88;2;1;4;0;1
35050;214;3;1;4;0;0
30150;156;1;4;0;1;0
29700;168;2;1;0;0;0
35400;88;3;3;1;0;0
51200;228;2;1;4;1;1
38250;42;2;4;3;0;0
47575;83;2;1;1;1;1
28500;120;3;5;4;0;0
57875;217;3;4;1;0;1
50525;83;2;2;3;0;1
44800;32;2;4;1;1;0
34925;69;3;3;4;0;0
28125;67;3;4;4;0;0
40775;143;3;5;3;1;0
52100;196;2;1;0;1;0
40700;88;3;4;4;0;1
40975;71;3;1;3;0;1
22000;10;2;4;1;0;0
32175;87;2;5;0;0;1
35400;166;2;2;1;0;0
48050;142;3;3;2;1;1
16350;4;3;3;3;0;0
37425;167;2;2;4;0;0
53025;161;2;5;3;0;1
38150;236;3;2;1;0;1
45100;56;1;4;0;0;1
58825;85;3;5;4;1;1
23000;90;2;4;0;0;0
51400;58;1;1;2;0;1
63850;134;2;5;3;1;1
32725;249;2;4;3;0;0
48675;57;2;3;0;1;1
25800;62;3;1;1;0;0
57150;118;3;4;2;1;0
26225;121;3;2;1;0;0
37000;190;1;2;2;1;0
30175;249;3;5;1;0;0
50450;138;2;2;2;0;1
53425;129;1;3;4;1;0
45800;214;1;1;4;1;0
21900;106;2;1;1;0;0
30650;156;1;2;1;1;0
43900;228;3;2;3;0;1
50950;190;3;2;4;1;0
32925;189;1;1;4;0;0
43625;37;1;1;2;1;0
39500;60;1;2;3;1;0
43100;94;1;2;4;1;0
30775;11;2;1;1;1;0
34850;154;1;2;0;1;0
38550;62;2;5;4;0;0
53150;96;3;5;0;0;1
45950;110;3;4;2;0;1
25725;179;1;1;0;1;0
32550;64;1;3;0;0;0
55575;223;2;5;3;0;1
45600;106;3;3;1;0;1
40475;149;1;4;1;0;0
48025;11;3;4;3;0;1
33350;174;2;5;0;0;0
42875;155;3;5;3;0;0
41250;212;2;3;0;0;1
36700;170;3;2;0;0;0
55800;172;1;2;3;1;1
41350;164;3;3;4;0;0
37000;100;1;3;3;1;0
41300;2;3;1;2;1;0
24275;121;3;2;2;0;0
49850;64;1;1;0;1;1
50600;86;3;4;4;0;1
44750;190;3;4;1;0;0
47425;19;1;2;3;0;1
45950;48;2;3;1;1;0
46325;125;1;1;3;1;1
39625;15;3;1;4;1;0
51725;81;3;2;1;0;1
48800;152;2;4;3;1;1
47875;65;3;3;2;0;1
44650;138;1;3;0;0;1
53375;247;3;2;4;0;1
26025;81;2;1;0;0;1
29625;105;2;3;2;1;0
49875;107;2;4;0;1;1
32325;35;2;1;1;1;0
27900;206;2;1;1;0;0
68700;90;1;4;4;1;1
46925;227;1;1;0;0;1
54700;100;1;4;1;1;1
33950;110;3;1;0;0;0
29025;113;1;5;3;0;0
39050;72;3;3;1;0;0
58050;174;1;2;1;0;1
18575;143;2;2;0;0;0
26900;118;2;1;3;0;0
26850;36;1;5;1;0;0
37325;3;3;4;3;1;0
45475;59;1;4;0;0;1
36450;178;1;1;1;0;0
56075;223;3;4;3;1;0
32325;225;2;1;0;0;0
37250;30;3;3;2;0;1
25850;236;2;1;2;0;0
38550;82;1;1;0;1;1
26650;178;2;1;1;0;0
44350;224;1;1;0;0;1
67925;89;2;4;4;1;1
43225;89;3;4;0;0;1
62675;67;3;2;2;1;1
36825;25;2;4;1;0;1
53925;9;3;5;0;1;1
52375;75;1;5;4;0;1
27425;157;1;1;4;0;0
55450;248;3;4;0;0;1
27000;132;3;3;0;0;0
53275;241;2;3;3;1;1
29400;206;1;1;2;1;0
44675;157;2;5;3;0;1
48800;234;3;3;0;1;0
42200;78;3;4;3;0;0
30800;152;1;5;2;0;0
69500;42;3;5;1;1;1
32625;217;1;4;4;0;0
25575;103;3;5;4;0;0
33250;200;3;2;2;0;1
23000;182;3;4;0;0;0
25150;206;2;5;0;0;0
43075;155;2;2;4;0;0
34800;132;2;2;0;0;1
42075;115;3;1;1;0;0
40525;1;2;5;2;0;0
29900;96;2;4;4;0;0
33675;169;3;5;2;0;0
41375;127;3;2;1;0;1
58775;181;3;3;1;1;1
50775;201;2;4;4;1;1
51875;177;1;5;2;1;1
43625;125;2;5;1;1;0
38350;204;1;3;0;0;1
51325;5;1;3;4;1;0
49025;143;1;2;1;0;1
57625;225;1;3;2;1;1
56400;78;2;4;0;1;1
61275;121;2;3;2;1;1
52825;93;3;4;3;1;0
36250;120;1;1;0;1;0
30650;106;1;2;1;0;1
41900;208;3;1;1;1;0
54675;139;2;3;3;0;1
32675;57;2;5;3;0;1
36925;67;3;2;0;0;0
41525;53;3;1;2;0;0
47125;145;1;1;3;1;1
45025;161;3;2;2;0;1
36925;207;2;4;2;1;0
38075;43;3;2;3;0;1
36425;57;3;1;3;1;0
43075;73;1;2;3;0;1
21225;209;1;3;0;0;0
29725;199;3;5;3;0;0
62225;51;3;2;1;1;1
47850;36;1;2;3;0;1
48525;81;3;5;4;0;1
23600;134;1;1;1;0;0
47100;236;3;4;3;0;0
49775;13;3;4;1;0;1
48625;195;3;4;2;0;1
35050;182;2;1;2;0;0
53375;85;3;1;1;0;1
46900;66;3;5;4;0;1
36975;149;1;1;1;0;0
47925;209;2;2;2;0;1
37075;43;1;1;2;1;0
27850;96;3;1;3;0;0
39825;15;2;5;3;0;0
45475;239;3;2;0;0;1
32750;170;3;1;1;1;0
53875;17;3;5;1;1;0
53500;160;1;2;0;1;1
55575;243;3;4;2;1;0
26475;139;1;4;0;0;0
54750;50;1;5;3;0;1
67250;140;3;5;4;1;1
40225;81;3;3;3;0;0
49675;19;2;4;4;1;0
37975;89;3;1;1;0;1
38425;177;2;5;3;0;0
39825;125;3;2;1;0;0
34575;33;2;1;2;0;1
59875;77;3;1;4;0;1
29400;8;2;3;2;0;0
50200;50;1;3;3;1;1
53700;30;1;3;2;1;1
64525;141;3;1;2;1;1
29200;40;2;4;4;0;0
50875;65;1;1;4;0;1
28675;87;2;1;3;1;0
27325;13;3;2;2;1;0
43925;87;1;5;3;1;0
48275;201;2;2;4;1;1
55200;50;2;3;2;0;1
13150;126;1;2;2;0;0
53450;110;3;3;4;1;1
28175;249;3;2;3;0;0
47375;97;2;3;1;0;1
51000;150;1;1;0;0;1
59925;229;1;5;1;0;1
36600;84;2;2;4;0;1
33225;19;3;3;4;0;0
62925;129;2;4;1;1;1
46575;235;2;5;2;1;0
29575;153;2;3;3;0;0
26025;101;3;4;3;0;0
35375;197;2;1;1;0;0
51300;232;3;2;0;1;0
16575;103;1;1;2;0;0
66725;169;3;5;2;1;1
28750;152;1;1;2;0;0
54700;8;1;1;4;1;1
40550;84;2;5;3;0;0
41775;241;1;4;2;0;1
51300;114;2;4;1;1;0
59625;215;3;5;2;1;1
65800;224;3;2;3;1;1
39200;98;2;4;4;1;0
46875;245;2;2;3;0;1
37275;203;3;3;4;0;0
37925;237;1;5;4;0;0
35250;60;3;3;3;0;1
54575;203;1;2;1;0;1
19150;16;2;1;4;0;0
20150;18;1;4;1;0;0
31575;233;3;1;2;1;0
39125;57;1;4;3;0;1
48275;81;1;4;2;1;1
32425;69;2;1;3;0;1
51900;246;2;5;2;1;1
49250;142;3;4;0;1;0
47000;190;3;3;2;0;1
27650;236;1;1;2;0;0
33550;22;3;5;3;0;0
50500;130;1;3;3;0;1
58550;54;3;5;3;0;1
28650;196;1;3;3;0;0
39250;180;3;3;4;0;0
40825;175;2;3;1;0;0
54700;248;3;3;4;1;0
36175;229;1;1;0;1;0
39075;5;3;2;2;0;1
39275;33;3;3;3;0;0
59625;7;3;4;1;0;1
33075;195;1;3;1;0;0
57175;139;1;5;4;0;1
55575;53;3;1;4;1;1
44775;11;1;3;2;0;1
30600;124;1;4;3;1;0
14575;33;2;1;0;0;0
25600;136;1;3;1;0;0
35500;82;2;3;3;0;0
28675;17;2;3;4;1;0
58275;173;3;3;2;0;1
27525;163;1;4;2;0;0
41500;220;2;4;3;1;0
44400;18;2;4;4;0;0
46200;228;2;2;0;0;1
67225;111;1;5;0;1;1
58400;218;3;1;3;1;1
33625;87;3;3;3;0;0
52825;75;1;5;0;1;0
40400;38;1;4;0;0;0
34650;68;1;5;1;1;0
48575;195;2;1;0;1;0
25875;225;1;3;3;0;0
41750;162;1;5;3;1;0
18675;47;2;2;3;0;0
45300;24;2;1;0;0;1
34400;158;3;5;3;0;0
50400;178;1;3;0;0;1
46650;6;3;5;3;1;1
48250;192;1;4;4;0;1
19900;36;2;5;2;0;0
39925;7;3;2;4;0;0
24475;89;2;5;2;0;0
24750;80;1;5;3;0;0
28775;183;3;4;1;0;0
53500;100;3;2;1;0;1
36425;137;1;3;0;0;1
19475;141;2;2;0;0;0
73375;167;2;5;4;1;1
64750;142;2;4;3;1;1
40125;25;1;4;2;1;0
39550;54;3;1;3;0;1
51175;59;2;5;0;0;1
44200;60;1;2;1;1;1
32750;232;3;4;0;0;0
53075;23;3;5;1;0;1
43400;26;3;5;2;1;0
43475;69;1;2;0;0;1
55775;213;2;4;4;1;0
43700;8;2;1;1;0;1
45050;152;2;4;4;1;0
63750;202;2;1;0;1;1
48000;222;1;3;3;1;0
45750;232;1;4;4;0;1
34700;30;2;3;4;0;1
67125;127;1;1;4;1;1
40975;149;2;2;0;0;1
49050;244;3;5;4;0;0
27625;25;3;1;0;0;0
57375;87;1;2;3;0;1
41900;26;1;3;3;1;1
56225;191;2;1;4;0;1
68075;105;3;2;2;1;1
29550;62;2;3;2;1;0
31250;12;2;5;4;0;0
